Area, Income ,,,,
Alfredton," 58,316 ",,,,
Ballarat," 55,618 ",,,,
Buninyong," 55,278 ",,,,
Delacombe," 53,390 ",,,,
Smythes Creek," 55,423 ",,,,
Wendouree - Miners Rest," 49,209 ",,,,
Ballarat East - Warrenheip," 49,244 ",,,,
Ballarat North - Invermay," 57,302 ",,,,
Canadian - Mount Clear," 50,715 ",,,,
Sebastopol - Redan," 46,099 ",,,,
Bacchus Marsh Surrounds," 55,574 ",,,,
Creswick - Clunes," 46,391 ",,,,
Daylesford," 43,779 ",,,,
Gordon (Vic.)," 53,887 ",,,,
Avoca," 41,115 ",,,,
Beaufort," 45,830 ",,,,
Golden Plains - North," 48,850 ",,,,
Maryborough (Vic.)," 42,058 ",,,,
Maryborough Surrounds," 39,814 ",,,,
Bendigo," 50,674 ",,,,
California Gully - Eaglehawk," 48,961 ",,,,
East Bendigo - Kennington," 51,650 ",,,,
Flora Hill - Spring Gully," 51,562 ",,,,
Kangaroo Flat - Golden Square," 49,519 ",,,,
Maiden Gully," 56,983 ",,,,
Strathfieldsaye," 59,973 ",,,,
White Hills - Ascot," 55,439 ",,,,
Bendigo Surrounds - South," 55,416 ",,,,
Castlemaine," 45,813 ",,,,
Castlemaine Surrounds," 45,103 ",,,,
Heathcote," 47,244 ",,,,
Kyneton," 52,864 ",,,,
Woodend," 59,961 ",,,,
Bendigo Surrounds - North," 50,636 ",,,,
Loddon," 43,980 ",,,,
Bannockburn," 58,081 ",,,,
Golden Plains - South," 53,168 ",,,,
Winchelsea," 51,842 ",,,,
Belmont," 53,949 ",,,,
Geelong," 55,922 ",,,,
Geelong West - Hamlyn Heights," 61,219 ",,,,
Highton," 57,671 ",,,,
Lara," 58,531 ",,,,
Leopold," 52,438 ",,,,
Newcomb - Moolap," 47,501 ",,,,
Newtown (Vic.)," 64,024 ",,,,
North Geelong - Bell Park," 52,646 ",,,,
Charlemont," 59,449 ",,,,
Corio - Lovely Banks," 47,419 ",,,,
Grovedale - Mount Duneed," 54,344 ",,,,
Norlane," 42,085 ",,,,
Clifton Springs," 50,000 ",,,,
Lorne - Anglesea," 44,994 ",,,,
Portarlington," 43,411 ",,,,
Point Lonsdale - Queenscliff," 48,873 ",,,,
Torquay," 59,645 ",,,,
Barwon Heads - Armstrong Creek," 60,288 ",,,,
Ocean Grove," 54,575 ",,,,
Alexandra," 43,356 ",,,,
Euroa," 44,097 ",,,,
Kilmore - Broadford," 54,311 ",,,,
Mansfield (Vic.)," 41,574 ",,,,
Nagambie," 51,076 ",,,,
Seymour," 47,273 ",,,,
Seymour Surrounds," 57,634 ",,,,
Upper Yarra Valley," 43,010 ",,,,
Yea," 42,809 ",,,,
Benalla," 46,425 ",,,,
Benalla Surrounds," 44,259 ",,,,
Rutherglen," 51,130 ",,,,
Wangaratta," 50,009 ",,,,
Wangaratta Surrounds," 47,812 ",,,,
Beechworth," 49,233 ",,,,
Bright - Mount Beauty," 42,701 ",,,,
Chiltern - Indigo Valley," 51,970 ",,,,
Myrtleford," 46,554 ",,,,
Towong," 47,488 ",,,,
West Wodonga," 54,135 ",,,,
Yackandandah," 54,173 ",,,,
Baranduda - Leneva," 61,027 ",,,,
Wodonga," 49,906 ",,,,
Drouin," 50,060 ",,,,
Mount Baw Baw Region," 46,017 ",,,,
Trafalgar (Vic.)," 49,147 ",,,,
Warragul," 52,200 ",,,,
Alps - East, np ,,,,
Bairnsdale," 46,466 ",,,,
Bruthen - Omeo," 44,982 ",,,,
Lake King, np ,,,,
Lakes Entrance," 37,849 ",,,,
Orbost," 38,243 ",,,,
Paynesville," 40,853 ",,,,
Foster," 40,798 ",,,,
French Island," 25,068 ",,,,
Korumburra," 46,594 ",,,,
Leongatha," 46,567 ",,,,
Phillip Island," 39,420 ",,,,
Wilsons Promontory," 62,022 ",,,,
Wonthaggi - Inverloch," 43,268 ",,,,
Churchill," 51,215 ",,,,
Moe - Newborough," 47,220 ",,,,
Morwell," 42,214 ",,,,
Yallourn North - Glengarry," 56,295 ",,,,
Traralgon - East," 53,107 ",,,,
Traralgon - West," 57,777 ",,,,
Alps - West," 36,311 ",,,,
Longford - Loch Sport," 46,497 ",,,,
Maffra," 48,427 ",,,,
Rosedale," 48,742 ",,,,
Sale," 50,185 ",,,,
Yarram," 41,427 ",,,,
Brunswick East," 72,010 ",,,,
Brunswick West," 63,478 ",,,,
Pascoe Vale South," 65,771 ",,,,
Brunswick - North," 65,415 ",,,,
Brunswick - South," 69,040 ",,,,
Coburg - East," 59,723 ",,,,
Coburg - West," 64,080 ",,,,
Alphington - Fairfield," 69,199 ",,,,
Thornbury," 67,597 ",,,,
Northcote - East," 72,223 ",,,,
Northcote - West," 74,635 ",,,,
Ascot Vale," 69,847 ",,,,
Flemington," 58,481 ",,,,
Moonee Ponds," 70,516 ",,,,
Essendon (West) - Aberfeldie," 66,027 ",,,,
Essendon - East," 68,651 ",,,,
Carlton," 35,484 ",,,,
Docklands," 62,393 ",,,,
East Melbourne," 83,194 ",,,,
Flemington Racecourse," 65,880 ",,,,
Kensington (Vic.)," 76,471 ",,,,
Parkville," 48,184 ",,,,
South Yarra - West," 79,790 ",,,,
West Melbourne - Industrial," 31,259 ",,,,
Melbourne CBD - East," 43,738 ",,,,
Melbourne CBD - North," 29,779 ",,,,
Melbourne CBD - West," 42,308 ",,,,
North Melbourne," 53,274 ",,,,
Royal Botanic Gardens Victoria," 32,275 ",,,,
Southbank (West) - South Wharf," 61,101 ",,,,
Southbank - East," 58,738 ",,,,
West Melbourne - Residential," 53,899 ",,,,
Albert Park," 75,006 ",,,,
Elwood," 76,583 ",,,,
Port Melbourne," 83,408 ",,,,
St Kilda East," 67,570 ",,,,
Port Melbourne Industrial," 66,595 ",,,,
South Melbourne," 74,388 ",,,,
St Kilda - Central," 66,906 ",,,,
St Kilda - West," 65,005 ",,,,
Armadale," 77,770 ",,,,
Prahran - Windsor," 75,876 ",,,,
Toorak," 81,240 ",,,,
South Yarra - North," 73,288 ",,,,
South Yarra - South," 74,786 ",,,,
Abbotsford," 73,676 ",,,,
Carlton North - Princes Hill," 67,036 ",,,,
Collingwood," 75,018 ",,,,
Fitzroy," 71,608 ",,,,
Fitzroy North," 73,738 ",,,,
Clifton Hill - Alphington," 81,391 ",,,,
Richmond (South) - Cremorne," 85,511 ",,,,
Richmond - North," 71,569 ",,,,
Ashburton (Vic.)," 69,169 ",,,,
Balwyn," 52,023 ",,,,
Balwyn North," 54,557 ",,,,
Camberwell," 66,294 ",,,,
Glen Iris - East," 71,436 ",,,,
Hawthorn East," 71,959 ",,,,
Kew East," 62,251 ",,,,
Surrey Hills (West) - Canterbury," 67,302 ",,,,
Hawthorn - North," 72,083 ",,,,
Hawthorn - South," 69,540 ",,,,
Kew - South," 67,421 ",,,,
Kew - West," 69,491 ",,,,
Bulleen," 53,252 ",,,,
Doncaster," 46,196 ",,,,
Templestowe," 51,449 ",,,,
Templestowe Lower," 52,724 ",,,,
Doncaster East - North," 47,962 ",,,,
Doncaster East - South," 46,946 ",,,,
Blackburn," 57,587 ",,,,
Blackburn South," 53,256 ",,,,
Box Hill," 42,539 ",,,,
Box Hill North," 51,918 ",,,,
Burwood (Vic.)," 42,895 ",,,,
Burwood East," 46,403 ",,,,
Surrey Hills (East) - Mont Albert," 64,619 ",,,,
Beaumaris," 64,144 ",,,,
Brighton (Vic.)," 73,258 ",,,,
Brighton East," 66,665 ",,,,
Highett (West) - Cheltenham," 67,779 ",,,,
Hampton," 68,108 ",,,,
Sandringham - Black Rock," 68,958 ",,,,
Bentleigh - McKinnon," 64,289 ",,,,
Carnegie," 62,387 ",,,,
Caulfield - North," 65,330 ",,,,
Caulfield - South," 65,828 ",,,,
Elsternwick," 70,791 ",,,,
Hughesdale," 61,845 ",,,,
Murrumbeena," 64,685 ",,,,
Ormond - Glen Huntly," 62,140 ",,,,
Bentleigh East - North," 61,347 ",,,,
Bentleigh East - South," 62,944 ",,,,
Aspendale Gardens - Waterways," 58,150 ",,,,
Braeside," 65,004 ",,,,
Carrum - Patterson Lakes," 60,773 ",,,,
Chelsea - Bonbeach," 64,293 ",,,,
Chelsea Heights," 58,095 ",,,,
Highett (East) - Cheltenham ," 61,220 ",,,,
Edithvale - Aspendale," 65,419 ",,,,
Mentone," 62,343 ",,,,
Moorabbin - Heatherton," 60,348 ",,,,
Moorabbin Airport," 72,191 ",,,,
Mordialloc - Parkdale," 64,534 ",,,,
Malvern - Glen Iris," 75,821 ",,,,
Malvern East," 66,040 ",,,,
Bundoora - East," 50,288 ",,,,
Greensborough," 63,041 ",,,,
Heidelberg - Rosanna," 67,437 ",,,,
Heidelberg West," 57,239 ",,,,
Ivanhoe," 69,937 ",,,,
Ivanhoe East - Eaglemont," 72,500 ",,,,
Montmorency - Briar Hill," 63,702 ",,,,
Viewbank - Yallambie," 61,832 ",,,,
Watsonia," 62,325 ",,,,
Kingsbury," 49,697 ",,,,
Preston - East," 59,543 ",,,,
Preston - West," 61,102 ",,,,
Reservoir - North East," 56,274 ",,,,
Reservoir - North West," 50,632 ",,,,
Reservoir - South East," 54,045 ",,,,
Reservoir - South West," 60,079 ",,,,
Eltham," 62,388 ",,,,
Hurstbridge," 57,774 ",,,,
Kinglake," 52,584 ",,,,
Panton Hill - St Andrews," 53,456 ",,,,
Plenty - Yarrambat," 62,031 ",,,,
Research - North Warrandyte," 59,672 ",,,,
Wattle Glen - Diamond Creek," 62,648 ",,,,
Bundoora - North," 52,275 ",,,,
Bundoora - West," 51,022 ",,,,
Mill Park - North," 54,050 ",,,,
Mill Park - South," 51,690 ",,,,
Thomastown," 46,263 ",,,,
Wallan," 57,372 ",,,,
Whittlesea," 55,775 ",,,,
Epping - East," 50,488 ",,,,
Epping - South," 49,331 ",,,,
Epping (Vic.) - West," 54,033 ",,,,
South Morang - North," 58,390 ",,,,
South Morang - South," 56,295 ",,,,
Wollert," 54,899 ",,,,
Doreen - North," 60,016 ",,,,
Doreen - South," 61,732 ",,,,
Lalor - East," 45,385 ",,,,
Lalor - West," 48,876 ",,,,
Mernda - North," 58,587 ",,,,
Mernda - South," 57,312 ",,,,
Airport West," 64,600 ",,,,
Essendon Airport," 42,184 ",,,,
Keilor," 57,434 ",,,,
Niddrie - Essendon West," 66,354 ",,,,
Strathmore," 65,523 ",,,,
Avondale Heights," 57,325 ",,,,
Keilor East," 58,923 ",,,,
Gisborne," 62,064 ",,,,
Macedon," 68,365 ",,,,
Riddells Creek," 59,637 ",,,,
Romsey," 56,901 ",,,,
Coburg North," 61,458 ",,,,
Fawkner," 47,564 ",,,,
Gowanbrae," 63,844 ",,,,
Hadfield," 54,781 ",,,,
Glenroy - East," 51,872 ",,,,
Glenroy - West," 56,014 ",,,,
Oak Park," 65,318 ",,,,
Pascoe Vale," 66,383 ",,,,
Sunbury," 58,576 ",,,,
Diggers Rest," 63,140 ",,,,
Sunbury - South," 58,936 ",,,,
Sunbury - West," 59,094 ",,,,
Broadmeadows," 38,828 ",,,,
Campbellfield - Coolaroo," 37,448 ",,,,
Gladstone Park - Westmeadows," 53,692 ",,,,
Greenvale - Bulla," 56,461 ",,,,
Meadow Heights," 40,112 ",,,,
Melbourne Airport," 55,038 ",,,,
Tullamarine," 55,013 ",,,,
Craigieburn - Central," 48,094 ",,,,
Craigieburn - North," 51,558 ",,,,
Craigieburn - South," 50,443 ",,,,
Mickleham - Yuroke," 54,757 ",,,,
Craigieburn - North West," 51,309 ",,,,
Craigieburn - West," 50,026 ",,,,
Roxburgh Park (South) - Somerton," 45,697 ",,,,
Roxburgh Park - North," 39,467 ",,,,
Bayswater," 54,065 ",,,,
Knoxfield - Scoresby," 54,139 ",,,,
Lysterfield," 60,245 ",,,,
Rowville - Central," 57,644 ",,,,
Rowville - North," 58,785 ",,,,
Rowville - South," 56,939 ",,,,
Wantirna," 51,266 ",,,,
Wantirna South," 51,489 ",,,,
Boronia," 55,264 ",,,,
Ferntree Gully - North," 54,507 ",,,,
Ferntree Gully (South) - Upper Ferntree Gully," 55,338 ",,,,
The Basin," 58,019 ",,,,
Donvale - Park Orchards," 55,035 ",,,,
Warrandyte - Wonga Park," 59,515 ",,,,
Bayswater North," 57,660 ",,,,
Croydon Hills - Warranwood," 60,302 ",,,,
Ringwood," 54,656 ",,,,
Ringwood East," 58,596 ",,,,
Ringwood North," 58,708 ",,,,
Croydon - East," 55,932 ",,,,
Croydon - West," 54,990 ",,,,
Croydon South," 58,836 ",,,,
Forest Hill," 50,781 ",,,,
Mitcham (Vic.)," 59,200 ",,,,
Nunawading," 58,067 ",,,,
Vermont," 55,449 ",,,,
Vermont South," 47,846 ",,,,
Belgrave - Selby," 57,714 ",,,,
Chirnside Park," 56,130 ",,,,
Healesville - Yarra Glen," 49,426 ",,,,
Kilsyth," 56,765 ",,,,
Lilydale - Coldstream," 55,617 ",,,,
Monbulk - Silvan," 52,564 ",,,,
Montrose," 57,576 ",,,,
Mooroolbark," 56,457 ",,,,
Mount Dandenong - Olinda," 55,036 ",,,,
Mount Evelyn," 54,628 ",,,,
Upwey - Tecoma," 57,671 ",,,,
Wandin - Seville," 55,617 ",,,,
Yarra Valley," 47,076 ",,,,
Emerald - Cockatoo," 55,556 ",,,,
Beaconsfield - Officer," 59,638 ",,,,
Bunyip - Garfield," 51,221 ",,,,
Koo Wee Rup," 53,558 ",,,,
Pakenham - North East," 53,825 ",,,,
Pakenham - North West," 57,639 ",,,,
Pakenham - South East," 48,509 ",,,,
Pakenham - South West," 53,033 ",,,,
Berwick - North," 56,686 ",,,,
Doveton," 44,431 ",,,,
Hallam," 46,385 ",,,,
Narre Warren North," 56,805 ",,,,
Endeavour Hills - North," 52,219 ",,,,
Endeavour Hills - South," 49,927 ",,,,
Narre Warren - North East," 53,348 ",,,,
Narre Warren - South West," 51,230 ",,,,
Berwick - South East," 58,797 ",,,,
Berwick - South West," 56,281 ",,,,
Cranbourne," 50,538 ",,,,
Cranbourne South," 59,852 ",,,,
Cranbourne West," 55,366 ",,,,
Lynbrook - Lyndhurst," 57,217 ",,,,
Pearcedale - Tooradin," 53,405 ",,,,
Narre Warren South - East," 52,586 ",,,,
Narre Warren South - West," 50,933 ",,,,
Clyde North - North," 60,910 ",,,,
Clyde North - South," 57,750 ",,,,
Cranbourne East - North," 52,283 ",,,,
Cranbourne East - South," 55,221 ",,,,
Cranbourne North - East," 55,921 ",,,,
Cranbourne North - West," 50,666 ",,,,
Hampton Park - East," 50,233 ",,,,
Hampton Park - West," 48,392 ",,,,
Clarinda - Oakleigh South," 52,254 ",,,,
Clayton South," 49,302 ",,,,
Dandenong North," 48,113 ",,,,
Dingley Village," 55,079 ",,,,
Noble Park North," 47,486 ",,,,
Springvale," 41,946 ",,,,
Springvale South," 44,501 ",,,,
Noble Park - East," 48,079 ",,,,
Noble Park - West," 45,406 ",,,,
Dandenong - North," 44,835 ",,,,
Dandenong - South," 46,053 ",,,,
Keysborough - North," 47,434 ",,,,
Keysborough - South," 58,617 ",,,,
Ashwood - Chadstone," 58,023 ",,,,
Glen Waverley - East," 45,489 ",,,,
Glen Waverley - West," 47,768 ",,,,
Mount Waverley - North," 52,010 ",,,,
Mount Waverley - South," 53,828 ",,,,
Mulgrave," 53,482 ",,,,
Oakleigh - Huntingdale," 57,659 ",,,,
Wheelers Hill," 47,588 ",,,,
Clayton (North) - Notting Hill," 30,407 ",,,,
Clayton - Central," 44,043 ",,,,
Ardeer - Albion," 49,626 ",,,,
Cairnlea," 49,901 ",,,,
Delahey," 50,215 ",,,,
Keilor Downs," 51,182 ",,,,
Kings Park (Vic.)," 43,234 ",,,,
St Albans - North," 41,247 ",,,,
St Albans - South," 41,273 ",,,,
Sunshine," 50,055 ",,,,
Sunshine North," 45,637 ",,,,
Sunshine West," 47,610 ",,,,
Sydenham," 52,637 ",,,,
Taylors Lakes," 56,561 ",,,,
Deer Park," 48,603 ",,,,
Derrimut," 57,381 ",,,,
Altona," 67,563 ",,,,
Altona Meadows," 57,426 ",,,,
Altona North," 64,025 ",,,,
Newport," 77,738 ",,,,
Seabrook," 58,110 ",,,,
Williamstown," 71,141 ",,,,
Braybrook," 51,820 ",,,,
Footscray," 52,022 ",,,,
Maribyrnong," 60,181 ",,,,
Seddon - Kingsville," 78,789 ",,,,
West Footscray - Tottenham," 64,089 ",,,,
Yarraville," 79,353 ",,,,
Bacchus Marsh," 58,050 ",,,,
Melton West," 51,659 ",,,,
Rockbank - Mount Cottrell," 58,106 ",,,,
Taylors Hill," 57,270 ",,,,
Burnside," 53,512 ",,,,
Burnside Heights," 54,504 ",,,,
Caroline Springs," 57,670 ",,,,
Brookfield," 51,577 ",,,,
Cobblebank - Strathtulloh," 56,943 ",,,,
Eynesbury - Exford," 71,299 ",,,,
Fraser Rise - Plumpton," 60,563 ",,,,
Hillside," 57,420 ",,,,
Kurunjang - Toolern Vale," 51,313 ",,,,
Melton," 46,260 ",,,,
Melton South - Weir Views," 48,473 ",,,,
Hoppers Crossing - North," 52,742 ",,,,
Hoppers Crossing - South," 48,304 ",,,,
Laverton," 53,488 ",,,,
Werribee - South," 57,025 ",,,,
Point Cook - East," 60,300 ",,,,
Point Cook - South," 65,151 ",,,,
Werribee - East," 49,999 ",,,,
Werribee - West," 58,556 ",,,,
Manor Lakes - Quandong," 62,512 ",,,,
Point Cook - North East," 58,852 ",,,,
Point Cook - North West," 63,398 ",,,,
Tarneit (West) - Mount Cottrell," 53,541 ",,,,
Tarneit - Central," 51,770 ",,,,
Tarneit - North," 53,178 ",,,,
Tarneit - South," 50,941 ",,,,
Truganina - North," 56,154 ",,,,
Truganina - South East," 57,560 ",,,,
Truganina - South West," 49,292 ",,,,
Wyndham Vale - North," 55,195 ",,,,
Wyndham Vale - South," 54,006 ",,,,
Carrum Downs," 55,965 ",,,,
Frankston," 52,336 ",,,,
Frankston North," 49,801 ",,,,
Frankston South," 56,887 ",,,,
Langwarrin," 57,941 ",,,,
Seaford (Vic.)," 55,696 ",,,,
Skye - Sandhurst," 59,847 ",,,,
Dromana," 45,661 ",,,,
Flinders," 51,751 ",,,,
Hastings - Somers," 50,115 ",,,,
Mount Eliza," 60,755 ",,,,
Mount Martha," 53,417 ",,,,
Point Nepean," 44,431 ",,,,
Rosebud - McCrae," 42,449 ",,,,
Somerville," 53,701 ",,,,
Mornington - East," 51,135 ",,,,
Mornington - West," 49,047 ",,,,
Ararat," 46,604 ",,,,
Ararat Surrounds," 47,937 ",,,,
Horsham," 52,335 ",,,,
Horsham Surrounds," 53,066 ",,,,
Nhill Region," 49,958 ",,,,
St Arnaud," 45,248 ",,,,
Stawell," 46,787 ",,,,
West Wimmera," 49,529 ",,,,
Yarriambiack," 49,404 ",,,,
Irymple," 50,878 ",,,,
Merbein," 46,435 ",,,,
Mildura Surrounds," 47,120 ",,,,
Red Cliffs," 44,925 ",,,,
Mildura - North," 44,969 ",,,,
Mildura - South," 48,949 ",,,,
Buloke," 45,229 ",,,,
Gannawarra," 42,636 ",,,,
Kerang," 44,156 ",,,,
Robinvale," 33,676 ",,,,
Swan Hill," 49,852 ",,,,
Swan Hill Surrounds," 45,585 ",,,,
Echuca," 50,841 ",,,,
Kyabram," 45,806 ",,,,
Lockington - Gunbower," 47,349 ",,,,
Rochester," 46,832 ",,,,
Rushworth," 40,742 ",,,,
Cobram," 45,317 ",,,,
Moira," 45,847 ",,,,
Numurkah," 46,374 ",,,,
Yarrawonga," 45,670 ",,,,
Mooroopna," 47,227 ",,,,
Shepparton - North," 53,151 ",,,,
Shepparton Surrounds - East," 48,754 ",,,,
Shepparton Surrounds - West," 47,312 ",,,,
Kialla," 55,999 ",,,,
Shepparton - South East," 43,027 ",,,,
Glenelg (Vic.)," 48,945 ",,,,
Hamilton (Vic.)," 49,224 ",,,,
Portland," 48,345 ",,,,
Southern Grampians," 47,750 ",,,,
Camperdown," 47,646 ",,,,
Colac," 50,269 ",,,,
Colac Surrounds," 48,546 ",,,,
Corangamite - North," 49,145 ",,,,
Corangamite - South," 47,319 ",,,,
Otway," 40,989 ",,,,
Moyne - East," 49,857 ",,,,
Moyne - West," 51,579 ",,,,
Warrnambool - North," 51,796 ",,,,
Warrnambool - South," 52,467 ",,,,
